DateGMT;Attendance;Home_Team_Name;AwayTeamName;Referee;HomeTeamGoalCount ;AwayTeamGoalCount;HomeTeamPossession;AwayTeamPossession;StadiumName;;;;;;;;;;;;;;;;;;
Dec 01 2018 - 3:00pm;31353;Leicester City;Watford;Graham Scott;2;0;37;63;King Power Stadium (Leicester- Leicestershire);;;;;;;;;;;;;;;;;;
Dec 01 2018 - 3:00pm;54409;Manchester City;AFC Bournemouth;Stuart Attwell;3;1;73;27;Etihad Stadium (Manchester);;;;;;;;;;;;;;;;;;
Dec 01 2018 - 3:00pm;51853;Newcastle United;West Ham United;Paul Tierney;0;3;58;42;St. James' Park (Newcastle upon Tyne);;;;;;;;;;;;;;;;;;
Dec 01 2018 - 5:30pm;30187;Southampton;Manchester United;Kevin Friend;2;2;40;60;St. Mary's Stadium (Southampton- Hampshire);;;;;;;;;;;;;;;;;;
Dec 02 2018 - 12:00pm;40551;Chelsea;Fulham;Craig Pawson;2;0;66;34;Stamford Bridge (London);;;;;;;;;;;;;;;;;;
Dec 02 2018 - 2:05pm;59973;Arsenal;Tottenham Hotspur;Mike Dean;4;2;59;41;Emirates Stadium (London);;;;;;;;;;;;;;;;;;
Dec 02 2018 - 4:15pm;51756;Liverpool;Everton;Chris Kavanagh;1;0;57;43;Anfield (Liverpool);;;;;;;;;;;;;;;;;;
Dec 04 2018 - 7:45pm;9980;AFC Bournemouth;Huddersfield Town;Roger East;2;1;32;68;Vitality Stadium (Bournemouth- Dorset);;;;;;;;;;;;;;;;;;
Dec 04 2018 - 7:45pm;29663;Brighton & Hove Albion;Crystal Palace;Kevin Friend;3;1;31;69;The American Express Community Stadium (Falmer- East Sussex);;;;;;;;;;;;;;;;;;
Dec 04 2018 - 7:45pm;56811;West Ham United;Cardiff City;Graham Scott;3;1;61;39;London Stadium (London);;;;;;;;;;;;;;;;;;
Dec 04 2018 - 8:00pm;20389;Watford;Manchester City;Paul Tierney;1;2;29;71;Vicarage Road (Watford);;;;;;;;;;;;;;;;;;
Dec 05 2018 - 7:45pm;21741;Burnley;Liverpool;Stuart Attwell;1;3;25;75;Turf Moor (Burnley);;;;;;;;;;;;;;;;;;
Dec 05 2018 - 7:45pm;22881;Fulham;Leicester City;David Coote;1;1;45;55;Craven Cottage (London);;;;;;;;;;;;;;;;;;
Dec 05 2018 - 7:45pm;31300;Wolverhampton Wanderers;Chelsea;Jonathan Moss;2;1;29;71;Molineux Stadium (Wolverhampton- West Midlands);;;;;;;;;;;;;;;;;;
Dec 05 2018 - 7:45pm;39350;Everton;Newcastle United;Lee Mason;1;1;76;24;Goodison Park (Liverpool);;;;;;;;;;;;;;;;;;
Dec 05 2018 - 8:00pm;74507;Manchester United;Arsenal;Andre Marriner;2;2;44;56;Old Trafford (Manchester);;;;;;;;;;;;;;;;;;
Dec 05 2018 - 8:00pm;33012;Tottenham Hotspur;Southampton;Anthony Taylor;3;1;52;48;Wembley Stadium (London);;;;;;;;;;;;;;;;;;
Dec 08 2018 - 12:30pm;10752;AFC Bournemouth;Liverpool;Lee Mason;0;4;40;60;Vitality Stadium (Bournemouth- Dorset);;;;;;;;;;;;;;;;;;
Dec 08 2018 - 3:00pm;59893;Arsenal;Huddersfield Town;Paul Tierney;1;0;61;39;Emirates Stadium (London);;;;;;;;;;;;;;;;;;
Dec 08 2018 - 3:00pm;18497;Burnley;Brighton & Hove Albion;Martin Atkinson;1;0;37;63;Turf Moor (Burnley);;;;;;;;;;;;;;;;;;
Dec 08 2018 - 3:00pm;30067;Cardiff City;Southampton;Jonathan Moss;1;0;36;64;Cardiff City Stadium (Cardiff (Caerdydd));;;;;;;;;;;;;;;;;;
Dec 08 2018 - 3:00pm;74523;Manchester United;Fulham;Lee Probert;4;1;62;38;Old Trafford (Manchester);;;;;;;;;;;;;;;;;;
Dec 08 2018 - 3:00pm;56995;West Ham United;Crystal Palace;Anthony Taylor;3;2;48;52;London Stadium (London);;;;;;;;;;;;;;;;;;
Dec 08 2018 - 5:30pm;40571;Chelsea;Manchester City;Michael Oliver;2;0;38;62;Stamford Bridge (London);;;;;;;;;;;;;;;;;;
Dec 08 2018 - 7:45pm;31957;Leicester City;Tottenham Hotspur;Craig Pawson;0;2;42;58;King Power Stadium (Leicester- Leicestershire);;;;;;;;;;;;;;;;;;
Dec 09 2018 - 4:00pm;50223;Newcastle United;Wolverhampton Wanderers;Mike Dean;1;2;50;50;St. James' Park (Newcastle upon Tyne);;;;;;;;;;;;;;;;;;
