full_name;age;season;position;Current Club;minutes_played_overall;nationality;goals_overall;assists_overall;penalty_goals;yellow_cards_overall;red_cards_overall
Ibrahima Ciss�;28;2018/2019;Midfielder;Fulham;87;Belgium;0;0;0;0;0
Idrissa Gana Gueye;33;2018/2019;Midfielder;Everton;2825;Senegal;0;2;0;6;0
?lkay G�ndo?an;32;2018/2019;Midfielder;Manchester City;2135;Germany;6;3;0;3;0
Isaac Ajayi Success;26;2018/2019;Forward;Watford;1037;Nigeria;1;1;0;4;0
Isaac Hayden;27;2018/2019;Midfielder;Newcastle United;1886;England;1;4;0;4;1
Isaac Mbenza;26;2018/2019;Forward;Huddersfield Town;981;Belgium;1;1;0;1;0
Issa Diop;25;2018/2019;Defender;West Ham United;2970;France;1;0;0;4;0
Ivan Ricardo Neves Abreu Cavaleiro;29;2018/2019;Forward;Wolverhampton Wanderers;683;Portugal;3;1;0;1;0
Jack Cork;33;2018/2019;Midfielder;Burnley;3313;England;1;2;0;6;0
Jack Simpson;25;2018/2019;Defender;AFC Bournemouth;403;England;0;0;0;0;0
Jack Stephens;28;2018/2019;Defender;Southampton;1697;England;1;0;0;4;0
Jack Wilshere;30;2018/2019;Midfielder;West Ham United;389;England;0;1;0;2;0
Jacob Murphy;27;2018/2019;Midfielder;Newcastle United;300;England;0;1;0;0;0
Ja�ro Riedewald;26;2018/2019;Defender;Crystal Palace;0;Netherlands;0;0;0;0;0
Jamal Lascelles;28;2018/2019;Defender;Newcastle United;2748;England;0;1;0;4;0
James Garner;21;2018/2019;Defender;Manchester United;0;England;0;0;0;0;0
James Maddison;25;2018/2019;Midfielder;Leicester City;2850;England;7;7;1;5;1
James McArthur;35;2018/2019;Midfielder;Crystal Palace;3071;Scotland;3;6;0;7;0
James McCarthy;31;2018/2019;Midfielder;Everton;14;Republic of Ireland;0;0;0;0;0
James Milner;36;2018/2019;Midfielder;Liverpool;1785;England;5;4;3;7;1
James Tarkowski;29;2018/2019;Defender;Burnley;3087;England;3;1;0;8;0
James Tomkins;33;2018/2019;Defender;Crystal Palace;2563;England;1;1;0;6;0
James Ward-Prowse;27;2018/2019;Midfielder;Southampton;1942;England;7;0;1;4;0
Jamie Sterry;26;2018/2019;Defender;Newcastle United;0;England;0;0;0;0;0
Jamie Vardy;35;2018/2019;Forward;Leicester City;2735;England;18;4;4;4;1
Jan Bednarek;26;2018/2019;Defender;Southampton;2151;Poland;0;1;0;7;0
Jan Vertonghen;35;2018/2019;Defender;Tottenham Hotspur;1915;Belgium;1;0;0;5;1
Jannik Vestergaard;30;2018/2019;Defender;Southampton;2030;Denmark;0;0;0;2;0
Jason Puncheon;36;2018/2019;Midfielder;Huddersfield Town;391;England;0;0;0;1;0
Jason Steele;32;2018/2019;Goalkeeper;Brighton & Hove Albion;0;England;0;0;0;0;0
Javier Hernandez;34;2018/2019;Forward;West Ham United;1335;Mexico;7;1;0;2;0
Javier Manquillo Gait�n;28;2018/2019;Defender;Newcastle United;1097;Spain;0;3;0;2;0
Jayson Molumby;23;2018/2019;Midfielder;Brighton & Hove Albion;0;Republic of Ireland;0;0;0;0;0
Jazz Richards;31;2018/2019;Defender;Cardiff City;128;Wales;0;0;0;0;0
Jean Michau00ebl Seri;31;2018/2019;Midfielder;Fulham;2252;Ivory Coast;1;2;0;6;0
Jeff Hendrick;30;2018/2019;Midfielder;Burnley;2069;Republic of Ireland;3;0;0;4;0
Jefferson Lerma;28;2018/2019;Midfielder;AFC Bournemouth;2511;Colombia;2;0;0;12;0
Jeffrey Schlupp;29;2018/2019;Defender;Crystal Palace;1665;Ghana;4;1;0;1;0
Jermain Defoe;40;2018/2019;Forward;AFC Bournemouth;21;England;0;0;0;0;0
Jesse Lingard;29;2018/2019;Midfielder;Manchester United;1668;England;4;2;1;3;0
Jo�o Moutinho;36;2018/2019;Midfielder;Wolverhampton Wanderers;3040;Portugal;1;8;0;4;0
Joe Bennett;32;2018/2019;Defender;Cardiff City;2641;England;0;1;0;5;0
Joe Bryan;29;2018/2019;Defender;Fulham;2350;England;0;1;0;5;0
Joe Daniel Tupper;24;2018/2019;Goalkeeper;Crystal Palace;0;England;0;0;0;0;0
Joe Gomez;25;2018/2019;Defender;Liverpool;1060;England;0;0;0;2;0
Joe Hart;35;2018/2019;Goalkeeper;Burnley;1710;England;0;0;0;0;0
Joe Powell;24;2018/2019;Forward;West Ham United;0;England;0;0;0;0;0
Joe Ralls;29;2018/2019;Midfielder;Cardiff City;1959;England;0;0;0;5;1
Joel Coleman;27;2018/2019;Goalkeeper;Huddersfield Town;90;England;0;0;0;0;0
Joel Matip;31;2018/2019;Defender;Liverpool;1532;Cameroon;1;0;0;3;0
Joel Ward;32;2018/2019;Defender;Crystal Palace;551;England;1;0;0;1;0
Johann Berg Gu�munds�son;32;2018/2019;Midfielder;Burnley;1748;Iceland;3;6;0;2;0
John Ruddy;36;2018/2019;Goalkeeper;Wolverhampton Wanderers;90;England;0;0;0;0;0
John Stones;28;2018/2019;Defender;Manchester City;1762;England;0;0;0;1;0
Jon Gorenc Stankovi?;26;2018/2019;Defender;Huddersfield Town;718;Slovenia;1;0;0;2;0
Jonas L�ssl;33;2018/2019;Goalkeeper;Huddersfield Town;2777;Denmark;0;1;0;1;0
Jonathan Hogg;33;2018/2019;Midfielder;Huddersfield Town;2377;England;0;1;0;9;1
Jonathan Walters;39;2018/2019;Forward;Burnley;0;Republic of Ireland;0;0;0;0;0
Jonjo Shelvey;30;2018/2019;Midfielder;Newcastle United;944;England;1;1;0;1;0
Jonjoe Kenny;25;2018/2019;Defender;Everton;790;England;0;1;0;1;0
Jonny;28;2018/2019;Defender;Wolverhampton Wanderers;2780;Spain;1;1;0;6;0
Jonny Evans;34;2018/2019;Defender;Leicester City;1995;Northern Ireland;1;0;0;2;0
Jordan Ayew;31;2018/2019;Forward;Crystal Palace;1186;Ghana;1;2;0;3;0
Jordan Henderson;32;2018/2019;Midfielder;Liverpool;1983;England;1;3;0;3;1
Jordan Pickford;28;2018/2019;Goalkeeper;Everton;3420;England;0;0;0;1;0
Jordon Ibe;26;2018/2019;Midfielder;AFC Bournemouth;795;England;1;1;0;1;0
Jorginho;30;2018/2019;Midfielder;Chelsea;3165;Italy;2;0;1;8;0
Jos� Diogo Dalot Teixeira;23;2018/2019;Defender;Manchester United;1015;Portugal;0;2;0;3;0
Jos� Holebas;38;2018/2019;Defender;Watford;2394;Greece;3;6;0;13;1
Jose Izquierdo;30;2018/2019;Forward;Brighton & Hove Albion;794;Colombia;0;1;0;1;0
